image_id,image_filename,meal_name,ingredients_list,ingredient_names,num_ingredients,total_calories,total_carbs,total_protein,total_fat
fsb_00000,fsb_00000.jpg,Breakfast Platter,"""[{'name': 'scrambled eggs', 'calories': 98.3, 'carbs': 1.1, 'protein': 6.6, 'fat': 7.2, 'quantity': 0.3, 'unit': 'cup'}, {'name': 'bacon', 'calories': 53.8, 'carbs': 0.2, 'protein': 3.9, 'fat': 4.0, 'quantity': 1, 'unit': 'slices'}, {'name': 'roasted potatoes', 'calories': 107.8, 'carbs': 13.9, 'protein': 1.6, 'fat': 5.2, 'quantity': 0.6, 'unit': 'cup'}, {'name': 'fruit salad', 'calories': 48.3, 'carbs': 12.2, 'protein': 0.7, 'fat': 0.2, 'quantity': 0.5, 'unit': 'cup'}, {'name': 'greek yogurt', 'calories': 100.3, 'carbs': 6.1, 'protein': 17.3, 'fat': 0.7, 'quantity': 1, 'unit': 'container'}]""","""[\""scrambled eggs\"", \""bacon\"", \""roasted potatoes\"", \""fruit salad\"", \""greek yogurt\""]""",5,408.5,33.5,30.1,17.3
fsb_00001,fsb_00001.jpg,Almond Cake with Strawberries,"""[{'name': 'almond cake', 'calories': 353.2, 'carbs': 41.2, 'protein': 5.8, 'fat': 18.8, 'quantity': 1, 'unit': 'piece'}, {'name': 'strawberries', 'calories': 11.5, 'carbs': 2.8, 'protein': 0.2, 'fat': 0.1, 'quantity': 3, 'unit': 'medium (1-1/4\"" dia)'}, {'name': 'powdered sugar', 'calories': 4.9, 'carbs': 1.2, 'protein': 0.0, 'fat': 0.0, 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'chocolate', 'calories': 30.0, 'carbs': 3.3, 'protein': 0.4, 'fat': 1.7, 'quantity': 0.8, 'unit': 'piece'}]""","""[\""almond cake\"", \""strawberries\"", \""powdered sugar\"", \""chocolate\""]""",4,399.6,48.5,6.4,20.6
fsb_00002,fsb_00002.jpg,Apple Fritter,"""[{'name': 'dough', 'calories': 252.3, 'carbs': 29.0, 'protein': 1.7, 'fat': 14.4, 'quantity': 2, 'unit': 'oz'}, {'name': 'apples', 'calories': 17.0, 'carbs': 4.5, 'protein': 0.1, 'fat': 0.1, 'quantity': 0.3, 'unit': 'cup slices'}, {'name': 'sugar', 'calories': 97.5, 'carbs': 25.2, 'protein': 0.0, 'fat': 0.0, 'quantity': 2, 'unit': 'tbsp'}, {'name': 'cinnamon', 'calories': 3.2, 'carbs': 1.0, 'protein': 0.1, 'fat': 0.0, 'quantity': 0.5, 'unit': 'tsp'}, {'name': 'oil', 'calories': 123.8, 'carbs': 0.0, 'protein': 0.0, 'fat': 14.0, 'quantity': 1, 'unit': 'tbsp'}, {'name': 'glaze', 'calories': 57.8, 'carbs': 13.9, 'protein': 0.2, 'fat': 0.1, 'quantity': 1, 'unit': 'tbsp'}]""","""[\""dough\"", \""apples\"", \""sugar\"", \""cinnamon\"", \""oil\"", \""glaze\""]""",6,551.6,73.6,2.1,28.6
fsb_00003,fsb_00003.jpg,Apple Pie,"""[{'name': 'apple', 'calories': 50.3, 'carbs': 13.4, 'protein': 0.3, 'fat': 0.2, 'quantity': 0.4, 'unit': 'NLEA serving'}, {'name': 'pie crust', 'calories': 782.3, 'carbs': 86.6, 'protein': 10.0, 'fat': 44.0, 'quantity': 1, 'unit': 'pie crust'}, {'name': 'sugar', 'calories': 16.3, 'carbs': 4.2, 'protein': 0.0, 'fat': 0.0, 'quantity': 1, 'unit': 'tsp'}, {'name': 'butter', 'calories': 50.9, 'carbs': 0.0, 'protein': 0.1, 'fat': 5.8, 'quantity': 0.5, 'unit': 'tbsp'}]""","""[\""apple\"", \""pie crust\"", \""sugar\"", \""butter\""]""",4,899.8,104.2,10.4,50.0
fsb_00004,fsb_00004.jpg,Apple,"""[{'name': 'apple', 'calories': 94.6, 'carbs': 25.1, 'protein': 0.5, 'fat': 0.3, 'quantity': 1, 'unit': 'medium (3\"" dia)'}, {'name': 'paprika', 'calories': 6.5, 'carbs': 1.2, 'protein': 0.3, 'fat': 0.3, 'quantity': 1, 'unit': 'tsp'}, {'name': 'tajin', 'calories': 7.0, 'carbs': 1.5, 'protein': 0.3, 'fat': 0.2, 'quantity': 1, 'unit': 'tsp'}]""","""[\""apple\"", \""paprika\"", \""tajin\""]""",3,108.1,27.8,1.1,0.8
fsb_00005,fsb_00005.jpg,Apple Slices with Peanut Butter,"""[{'name': 'apple', 'calories': 94.6, 'carbs': 25.1, 'protein': 0.5, 'fat': 0.3, 'quantity': 1, 'unit': 'medium (3\"" dia)'}, {'name': 'peanut butter', 'calories': 188.2, 'carbs': 7.7, 'protein': 7.0, 'fat': 15.9, 'quantity': 2, 'unit': 'tbsp'}, {'name': 'oatmeal', 'calories': 149.5, 'carbs': 25.3, 'protein': 5.3, 'fat': 3.2, 'quantity': 0.9, 'unit': 'cup'}, {'name': 'cinnamon', 'calories': 3.2, 'carbs': 1.0, 'protein': 0.1, 'fat': 0.0, 'quantity': 0.5, 'unit': 'tsp'}]""","""[\""apple\"", \""peanut butter\"", \""oatmeal\"", \""cinnamon\""]""",4,435.5,59.1,12.9,19.4
fsb_00006,fsb_00006.jpg,Arugula Salad with Candied Pecans and Beets,"""[{'name': 'arugula', 'calories': 5.0, 'carbs': 0.7, 'protein': 0.5, 'fat': 0.1, 'quantity': 1, 'unit': 'cup'}, {'name': 'candied pecans', 'calories': 218.7, 'carbs': 14.8, 'protein': 2.5, 'fat': 18.2, 'quantity': 0.5, 'unit': 'cup'}, {'name': 'beets', 'calories': 37.4, 'carbs': 8.5, 'protein': 1.4, 'fat': 0.2, 'quantity': 0.5, 'unit': 'cup slices'}, {'name': 'carrots', 'calories': 6.8, 'carbs': 1.6, 'protein': 0.1, 'fat': 0.0, 'quantity': 2, 'unit': 'tbsp'}, {'name': 'fried cheese', 'calories': 184.3, 'carbs': 14.3, 'protein': 8.4, 'fat': 10.4, 'quantity': 2, 'unit': 'wt. oz'}, {'name': 'balsamic glaze', 'calories': 28.4, 'carbs': 6.7, 'protein': 0.1, 'fat': 0.0, 'quantity': 0.7, 'unit': 'tbsp'}]""","""[\""arugula\"", \""candied pecans\"", \""beets\"", \""carrots\"", \""fried cheese\"", \""balsamic glaze\""]""",6,480.6,46.6,13.0,28.9
fsb_00007,fsb_00007.jpg,Asian Chicken Salad with Egg Roll,"""[{'name': 'grilled chicken', 'calories': 170.5, 'carbs': 0.0, 'protein': 34.0, 'fat': 3.9, 'quantity': 0.6, 'unit': 'piece'}, {'name': 'lettuce', 'calories': 4.8, 'carbs': 0.9, 'protein': 0.3, 'fat': 0.1, 'quantity': 1, 'unit': 'wt. oz'}, {'name': 'cabbage', 'calories': 10.3, 'carbs': 2.5, 'protein': 0.6, 'fat': 0.0, 'quantity': 0.3, 'unit': 'cup, shredded'}, {'name': 'carrots', 'calories': 10.9, 'carbs': 2.6, 'protein': 0.2, 'fat': 0.1, 'quantity': 0.2, 'unit': 'cup'}, {'name': 'fried wonton strips', 'calories': 58.6, 'carbs': 5.8, 'protein': 1.2, 'fat': 3.6, 'quantity': 0.25, 'unit': 'cup'}, {'name': 'dressing', 'calories': 116.1, 'carbs': 1.6, 'protein': 0.4, 'fat': 12.0, 'quantity': 1.8, 'unit': 'tablespoons'}, {'name': 'egg roll', 'calories': 155.8, 'carbs': 17.0, 'protein': 5.2, 'fat': 7.4, 'quantity': 0.7, 'unit': 'piece'}]""","""[\""grilled chicken\"", \""lettuce\"", \""cabbage\"", \""carrots\"", \""fried wonton strips\"", \""dressing\"", \""egg roll\""]""",7,527.0,30.4,41.9,27.1
fsb_00008,fsb_00008.jpg,Asian Chicken Salad,"""[{'name': 'chicken', 'calories': 118.8, 'carbs': 0.0, 'protein': 12.9, 'fat': 7.1, 'quantity': 0.4, 'unit': 'cup'}, {'name': 'cabbage', 'calories': 10.3, 'carbs': 2.5, 'protein': 0.6, 'fat': 0.0, 'quantity': 0.3, 'unit': 'cup, shredded'}, {'name': 'carrots', 'calories': 10.9, 'carbs': 2.6, 'protein': 0.2, 'fat': 0.1, 'quantity': 0.2, 'unit': 'cup'}, {'name': 'red cabbage', 'calories': 4.4, 'carbs': 1.0, 'protein': 0.2, 'fat': 0.0, 'quantity': 0.1, 'unit': 'cup, shredded'}, {'name': 'green onions', 'calories': 3.8, 'carbs': 0.9, 'protein': 0.2, 'fat': 0.0, 'quantity': 2, 'unit': 'tbsp chopped'}, {'name': 'crispy noodles', 'calories': 58.6, 'carbs': 5.8, 'protein': 1.2, 'fat': 3.6, 'quantity': 0.25, 'unit': 'cup'}, {'name': 'dressing', 'calories': 77.4, 'carbs': 1.1, 'protein': 0.2, 'fat': 8.0, 'quantity': 1.2, 'unit': 'tablespoons'}]""","""[\""chicken\"", \""cabbage\"", \""carrots\"", \""red cabbage\"", \""green onions\"", \""crispy noodles\"", \""dressing\""]""",7,284.2,13.9,15.5,18.8
fsb_00009,fsb_00009.jpg,Asian Meal with Fried Chicken and Rice,"""[{'name': 'fried chicken', 'calories': 376.6, 'carbs': 4.4, 'protein': 40.0, 'fat': 20.9, 'quantity': 1, 'unit': 'piece'}, {'name': 'white rice', 'calories': 205.4, 'carbs': 44.5, 'protein': 4.3, 'fat': 0.4, 'quantity': 1, 'unit': 'cup'}, {'name': 'eggplant', 'calories': 34.6, 'carbs': 8.6, 'protein': 0.8, 'fat': 0.2, 'quantity': 1, 'unit': 'cup (1\"" cubes)'}, {'name': 'soy sauce', 'calories': 8.5, 'carbs': 0.8, 'protein': 1.3, 'fat': 0.1, 'quantity': 1, 'unit': 'tbsp'}, {'name': 'greens', 'calories': 31.4, 'carbs': 5.4, 'protein': 2.6, 'fat': 0.7, 'quantity': 0.5, 'unit': 'cup'}, {'name': 'sparkling water', 'calories': 0.0, 'carbs': 0.0, 'protein': 0.0, 'fat': 0.0, 'quantity': 1, 'unit': 'cup'}]""","""[\""fried chicken\"", \""white rice\"", \""eggplant\"", \""soy sauce\"", \""greens\"", \""sparkling water\""]""",6,656.5,63.7,49.0,22.3
